ID,ClemsonDepartment,ClemsonDepartmentNotes
AbbottMA,,
AbelR,Board of Visitors,
AllF,Clemson Alumni Corporation Board of Directors,
AndersonFC,,
AndersonRL,School of Engineering,Associate Professor of Architecture
AndersonSW,,
AndrewsFS,School of Agriculture,Associate Professor of Horticulture
ArmstrongGM,School of Agriculture,Professor of Agricultural Economics
ArndtCH,,
AsbillCM,,
AullGH,School of Agriculture,Professor of Agricultural Economics
AullKR,,
AullME,Botany,
AullWB,"Officers of Administration,School of Agriculture","Vice-Dean, School of Agriculture; Associate Professor of Bacteriology"
AyersTL,School of Vocational Education,Associate Professor of Vocational Education
BalentineL,Clemson Alumni Corporation Board of Directors,
BarnettDE,Military Science and Tactics,Assistant Professor of Military Science and Tactics
BarnettWD,"Board of Trustees,Clemson Alumni Corporation Board of Directors",
BellMC,,
BenetC,Board of Trustees,
BerlyJA,,
BlairWG,School of Textiles,Assistant Professor of Carding
BookerLR,School of Vocational Education,Itinerant Teacher-Trainer and Assistant State Supervisor Industrial Education
BoroughsRC,Clemson Blue Cheese,
BowenWC,School of Vocational Education,Assistant Professor of Agricultural Education
BrackettRN,School of Chemistry,Professor of Chemistry
BradleyME,School of General Science,Professor of English
BradleyWW,Board of Trustees,
BrearlyHC,School of General Science,Professor of Sociology and Psychology
BrockJL,School of Vocational Education,Assistant Professor of Vocational Education
BrownAJ,Other Officers,Assistant Bookkeeper
BrownEA,Board of Trustees,
BrownHM,General Education,Professor of Physics
BrunsonM,Board of Visitors,
BryanAB,,
BurleyBB,Other Officers,Assistant Bookkeeper
BurtonWW,General Education,Assistant Professor of Mathematics
CalhounFHH,"Officers of Administration,School of Chemistry","Dean, School of Chemistry; Professor of Geology and Mineralogy"
CalhounI,,
CalkinsEWS,,
CareyAMS,,
CareyJRC,Landscape Architect,
CareyMS,,
CareySrJC,Superintendent of Physical Plant,
CarodemosP,Chemistry,
CarodemosP,School of Chemistry,Associate Professor of Chemistry
CarteeEF,School of Textiles,Acting Associate Professor of Warp Preparation and Knitting
CarterGM,,
ChambersHO,"General Education,Other Officers",Assistant Professor of Religion; Pastor Methodist Church
ChambersJB,,
ClarkeEL,School of Engineering,Professor of Civil Engineering
ClarkES,,
ClarkOM,,
ClinkscalesFH,,
CochranHD,,
CokerEC,,
ColemanWO,Board of Visitors,
CollingsGH,School of Agriculture,Professor of Agronomy
CookAL,,
CookEW,Animal Science Department,
CookHH,Fort Hill,
CookJM,,
CooperHP,Officers of Administration,"Dean, School of Agriculture; Director, Agricultural Experiment Station; Professor of Agronomy"
CooperJR,Other Officers,"Associate Secretary, YMCA"
CooperRM,Board of Trustees,
CopeFE,Board of Trustees,
CrandallWS,School of Vocational Education,Professor of Vocational Education
CredleAB,School of Engineering,Assistant Professor of Electrical Engineering
CrouchSJL,"General Education,Other Officers",Professor of Religion; Pastor Presbyterian Church
CrowtherJI,,
CurtisDD,General Education,Professor of Mechanics and Hydraulics
CurtisEG,,
